Product_ID,Rating,Product type,Count_Product_ID,Frequency level,Age group
1008,5,Bottoms,186,Frequent,31-40
1008,5,Bottoms,186,Frequent,31-40
1008,4,Bottoms,186,Frequent,31-40
829,3,Tops,527,Highly Frequent,51-60
829,3,Tops,527,Highly Frequent,31-40
829,3,Tops,527,Highly Frequent,41-50
829,5,Tops,527,Highly Frequent,41-50
1008,5,Bottoms,186,Frequent,31-40
523,3,Intimate,1,Rare,41-50
829,4,Tops,527,Highly Frequent,51-60
829,4,Tops,527,Highly Frequent,31-40
1126,4,Jackets,42,Frequent,31-40
829,1,Tops,527,Highly Frequent,51-60
829,4,Tops,527,Highly Frequent,60+
1008,5,Bottoms,186,Frequent,51-60
1126,4,Jackets,42,Frequent,41-50
829,3,Tops,527,Highly Frequent,31-40
1020,5,Bottoms,158,Frequent,51-60
895,5,Tops,404,Frequent,51-60
862,5,Tops,806,Highly Frequent,31-40
1104,5,Dresses,185,Frequent,41-50
670,5,Intimate,2,Rare,31-40
329,5,Intimate,1,Rare,41-50
670,4,Intimate,2,Rare,60+
868,4,Tops,430,Frequent,51-60
1020,5,Bottoms,158,Frequent,31-40
862,4,Tops,806,Highly Frequent,21-30
895,5,Tops,404,Frequent,41-50
895,5,Tops,404,Frequent,51-60
1094,2,Dresses,756,Highly Frequent,31-40
895,5,Tops,404,Frequent,41-50
895,5,Tops,404,Frequent,31-40
1020,4,Bottoms,158,Frequent,31-40
895,5,Tops,404,Frequent,41-50
1020,4,Bottoms,158,Frequent,21-30
895,2,Tops,404,Frequent,31-40
895,2,Tops,404,Frequent,31-40
1020,4,Bottoms,158,Frequent,31-40
596,5,Trend,1,Rare,41-50
1094,4,Dresses,756,Highly Frequent,51-60
1020,4,Bottoms,158,Frequent,41-50
895,4,Tops,404,Frequent,41-50
895,2,Tops,404,Frequent,51-60
895,5,Tops,404,Frequent,41-50
1020,5,Bottoms,158,Frequent,21-30
1098,3,Dresses,86,Frequent,31-40
895,5,Tops,404,Frequent,60+
862,5,Tops,806,Highly Frequent,21-30
1020,5,Bottoms,158,Frequent,31-40
895,5,Tops,404,Frequent,51-60
1020,3,Bottoms,158,Frequent,41-50
895,3,Tops,404,Frequent,41-50
895,5,Tops,404,Frequent,31-40
895,3,Tops,404,Frequent,31-40
895,5,Tops,404,Frequent,60+
828,4,Tops,225,Frequent,51-60
1020,3,Bottoms,158,Frequent,41-50
862,5,Tops,806,Highly Frequent,41-50
1020,4,Bottoms,158,Frequent,41-50
895,5,Tops,404,Frequent,31-40
862,1,Tops,806,Highly Frequent,41-50
895,5,Tops,404,Frequent,51-60
1020,4,Bottoms,158,Frequent,60+
1075,4,Dresses,69,Frequent,51-60
1104,5,Dresses,185,Frequent,41-50
1020,1,Bottoms,158,Frequent,60+
1094,5,Dresses,756,Highly Frequent,31-40
305,2,Intimate,1,Rare,41-50
828,5,Tops,225,Frequent,60+
1094,5,Dresses,756,Highly Frequent,21-30
828,5,Tops,225,Frequent,31-40
895,4,Tops,404,Frequent,31-40
1020,5,Bottoms,158,Frequent,51-60
895,5,Tops,404,Frequent,60+
647,5,Intimate,4,Rare,21-30
1025,4,Bottoms,125,Frequent,31-40
1025,5,Bottoms,125,Frequent,31-40
815,5,Tops,53,Frequent,51-60
1066,4,Bottoms,89,Frequent,51-60
840,4,Tops,59,Frequent,51-60
1026,4,Bottoms,21,Less Frequent,31-40
840,5,Tops,59,Frequent,31-40
1066,5,Bottoms,89,Frequent,41-50
840,2,Tops,59,Frequent,31-40
1030,5,Bottoms,72,Frequent,21-30
840,5,Tops,59,Frequent,60+
1066,5,Bottoms,89,Frequent,21-30
647,5,Intimate,4,Rare,41-50
1066,2,Bottoms,89,Frequent,41-50
872,5,Tops,545,Highly Frequent,60+
840,3,Tops,59,Frequent,51-60
1066,4,Bottoms,89,Frequent,51-60
647,1,Intimate,4,Rare,31-40
1066,5,Bottoms,89,Frequent,21-30
840,4,Tops,59,Frequent,51-60
1066,3,Bottoms,89,Frequent,41-50
872,5,Tops,545,Highly Frequent,31-40
1066,3,Bottoms,89,Frequent,41-50
1115,4,Jackets,23,Less Frequent,41-50
1030,5,Bottoms,72,Frequent,21-30
1018,4,Bottoms,4,Rare,21-30
1026,5,Bottoms,21,Less Frequent,41-50
840,5,Tops,59,Frequent,31-40
1066,5,Bottoms,89,Frequent,21-30
647,5,Intimate,4,Rare,31-40
840,5,Tops,59,Frequent,21-30
840,4,Tops,59,Frequent,51-60
840,5,Tops,59,Frequent,41-50
1018,4,Bottoms,4,Rare,41-50
840,3,Tops,59,Frequent,41-50
824,5,Tops,96,Frequent,31-40
1115,5,Jackets,23,Less Frequent,31-40
840,5,Tops,59,Frequent,41-50
878,3,Tops,47,Frequent,41-50
984,5,Jackets,175,Frequent,51-60
1104,5,Dresses,185,Frequent,21-30
878,4,Tops,47,Frequent,60+
1104,5,Dresses,185,Frequent,51-60
984,4,Jackets,175,Frequent,21-30
866,4,Tops,121,Frequent,21-30
1104,5,Dresses,185,Frequent,21-30
868,3,Tops,430,Frequent,60+
984,5,Jackets,175,Frequent,41-50
984,5,Jackets,175,Frequent,31-40
1104,5,Dresses,185,Frequent,31-40
878,5,Tops,47,Frequent,41-50
1182,5,Tops,1,Rare,31-40
868,5,Tops,430,Frequent,51-60
868,5,Tops,430,Frequent,60+
868,3,Tops,430,Frequent,31-40
565,5,Trend,1,Rare,31-40
984,5,Jackets,175,Frequent,31-40
1104,5,Dresses,185,Frequent,41-50
868,5,Tops,430,Frequent,60+
878,5,Tops,47,Frequent,41-50
868,4,Tops,430,Frequent,60+
1104,5,Dresses,185,Frequent,31-40
868,2,Tops,430,Frequent,41-50
984,5,Jackets,175,Frequent,60+
878,2,Tops,47,Frequent,41-50
984,5,Jackets,175,Frequent,51-60
984,5,Jackets,175,Frequent,31-40
984,5,Jackets,175,Frequent,60+
1024,5,Bottoms,35,Less Frequent,60+
984,3,Jackets,175,Frequent,60+
984,5,Jackets,175,Frequent,41-50
1104,5,Dresses,185,Frequent,21-30
1024,5,Bottoms,35,Less Frequent,31-40
984,5,Jackets,175,Frequent,41-50
1104,5,Dresses,185,Frequent,31-40
984,5,Jackets,175,Frequent,31-40
1104,4,Dresses,185,Frequent,31-40
984,5,Jackets,175,Frequent,31-40
895,5,Tops,404,Frequent,31-40
1104,5,Dresses,185,Frequent,41-50
1131,3,Jackets,19,Less Frequent,31-40
984,5,Jackets,175,Frequent,41-50
1104,5,Dresses,185,Frequent,60+
831,5,Tops,164,Frequent,31-40
984,4,Jackets,175,Frequent,31-40
1104,5,Dresses,185,Frequent,51-60
836,5,Tops,205,Frequent,41-50
1089,3,Dresses,92,Frequent,31-40
844,3,Tops,50,Frequent,31-40
836,4,Tops,205,Frequent,31-40
836,3,Tops,205,Frequent,51-60
836,5,Tops,205,Frequent,21-30
836,5,Tops,205,Frequent,51-60
844,5,Tops,50,Frequent,51-60
936,5,Tops,358,Frequent,21-30
895,5,Tops,404,Frequent,60+
836,5,Tops,205,Frequent,41-50
831,5,Tops,164,Frequent,41-50
844,5,Tops,50,Frequent,51-60
895,5,Tops,404,Frequent,41-50
1066,5,Bottoms,89,Frequent,41-50
844,2,Tops,50,Frequent,41-50
836,5,Tops,205,Frequent,41-50
836,4,Tops,205,Frequent,21-30
907,5,Tops,130,Frequent,21-30
836,5,Tops,205,Frequent,51-60
844,3,Tops,50,Frequent,41-50
1103,4,Dresses,36,Less Frequent,41-50
866,5,Tops,121,Frequent,41-50
907,5,Tops,130,Frequent,21-30
844,1,Tops,50,Frequent,51-60
895,5,Tops,404,Frequent,60+
895,5,Tops,404,Frequent,31-40
1080,5,Dresses,289,Frequent,60+
831,5,Tops,164,Frequent,60+
844,5,Tops,50,Frequent,41-50
844,4,Tops,50,Frequent,31-40
831,5,Tops,164,Frequent,31-40
836,5,Tops,205,Frequent,31-40
907,5,Tops,130,Frequent,41-50
844,3,Tops,50,Frequent,41-50
895,5,Tops,404,Frequent,21-30
895,5,Tops,404,Frequent,60+
907,5,Tops,130,Frequent,21-30
844,5,Tops,50,Frequent,41-50
836,3,Tops,205,Frequent,21-30
844,2,Tops,50,Frequent,31-40
844,4,Tops,50,Frequent,60+
844,5,Tops,50,Frequent,51-60
936,2,Tops,358,Frequent,31-40
907,5,Tops,130,Frequent,31-40
936,5,Tops,358,Frequent,31-40
831,1,Tops,164,Frequent,41-50
907,5,Tops,130,Frequent,51-60
862,3,Tops,806,Highly Frequent,31-40
836,3,Tops,205,Frequent,31-40
936,4,Tops,358,Frequent,41-50
895,5,Tops,404,Frequent,31-40
836,3,Tops,205,Frequent,60+
580,5,Intimate,1,Rare,51-60
895,5,Tops,404,Frequent,41-50
862,4,Tops,806,Highly Frequent,31-40
862,5,Tops,806,Highly Frequent,31-40
844,5,Tops,50,Frequent,41-50
836,2,Tops,205,Frequent,21-30
895,5,Tops,404,Frequent,31-40
836,5,Tops,205,Frequent,21-30
895,5,Tops,404,Frequent,60+
895,5,Tops,404,Frequent,51-60
895,5,Tops,404,Frequent,41-50
836,5,Tops,205,Frequent,41-50
859,4,Tops,18,Less Frequent,21-30
862,3,Tops,806,Highly Frequent,31-40
1049,5,Bottoms,32,Less Frequent,41-50
862,5,Tops,806,Highly Frequent,31-40
1089,5,Dresses,92,Frequent,60+
1089,4,Dresses,92,Frequent,21-30
1104,3,Dresses,185,Frequent,51-60
127,4,Intimate,6,Less Frequent,41-50
1104,3,Dresses,185,Frequent,41-50
936,5,Tops,358,Frequent,21-30
902,4,Tops,18,Less Frequent,51-60
995,2,Bottoms,36,Less Frequent,41-50
936,5,Tops,358,Frequent,60+
127,4,Intimate,6,Less Frequent,21-30
1104,1,Dresses,185,Frequent,31-40
1086,4,Dresses,291,Frequent,21-30
936,5,Tops,358,Frequent,31-40
746,3,Intimate,1,Rare,31-40
1081,4,Dresses,582,Highly Frequent,51-60
127,3,Intimate,6,Less Frequent,41-50
936,3,Tops,358,Frequent,31-40
127,3,Intimate,6,Less Frequent,31-40
1035,5,Bottoms,135,Frequent,31-40
902,4,Tops,18,Less Frequent,31-40
995,5,Bottoms,36,Less Frequent,60+
1104,5,Dresses,185,Frequent,31-40
1089,5,Dresses,92,Frequent,31-40
1086,3,Dresses,291,Frequent,21-30
902,2,Tops,18,Less Frequent,31-40
902,5,Tops,18,Less Frequent,51-60
1094,5,Dresses,756,Highly Frequent,31-40
1086,3,Dresses,291,Frequent,21-30
936,5,Tops,358,Frequent,51-60
1036,4,Bottoms,18,Less Frequent,60+
936,5,Tops,358,Frequent,31-40
1094,5,Dresses,756,Highly Frequent,21-30
1094,5,Dresses,756,Highly Frequent,51-60
1086,5,Dresses,291,Frequent,21-30
127,5,Intimate,6,Less Frequent,31-40
127,5,Intimate,6,Less Frequent,51-60
1083,4,Dresses,249,Frequent,31-40
872,5,Tops,545,Highly Frequent,31-40
1083,2,Dresses,249,Frequent,31-40
831,5,Tops,164,Frequent,31-40
1080,3,Dresses,289,Frequent,31-40
1077,5,Dresses,297,Frequent,60+
872,4,Tops,545,Highly Frequent,60+
964,5,Jackets,77,Frequent,31-40
1089,3,Dresses,92,Frequent,31-40
872,4,Tops,545,Highly Frequent,21-30
1083,5,Dresses,249,Frequent,41-50
829,4,Tops,527,Highly Frequent,31-40
964,5,Jackets,77,Frequent,31-40
1089,5,Dresses,92,Frequent,31-40
829,5,Tops,527,Highly Frequent,31-40
829,5,Tops,527,Highly Frequent,51-60
967,5,Jackets,23,Less Frequent,51-60
829,4,Tops,527,Highly Frequent,31-40
829,4,Tops,527,Highly Frequent,31-40
872,4,Tops,545,Highly Frequent,41-50
872,4,Tops,545,Highly Frequent,31-40
149,4,Intimate,2,Rare,31-40
964,5,Jackets,77,Frequent,51-60
1030,5,Bottoms,72,Frequent,60+
964,5,Jackets,77,Frequent,31-40
1083,4,Dresses,249,Frequent,41-50
872,4,Tops,545,Highly Frequent,51-60
872,5,Tops,545,Highly Frequent,51-60
829,4,Tops,527,Highly Frequent,41-50
872,4,Tops,545,Highly Frequent,60+
964,5,Jackets,77,Frequent,21-30
1089,3,Dresses,92,Frequent,31-40
872,3,Tops,545,Highly Frequent,21-30
872,5,Tops,545,Highly Frequent,51-60
872,5,Tops,545,Highly Frequent,41-50
1077,2,Dresses,297,Frequent,21-30
967,4,Jackets,23,Less Frequent,51-60
872,5,Tops,545,Highly Frequent,21-30
964,5,Jackets,77,Frequent,41-50
872,5,Tops,545,Highly Frequent,31-40
234,5,Intimate,1,Rare,31-40
149,4,Intimate,2,Rare,31-40
829,4,Tops,527,Highly Frequent,51-60
829,4,Tops,527,Highly Frequent,41-50
872,5,Tops,545,Highly Frequent,60+
872,5,Tops,545,Highly Frequent,41-50
850,5,Tops,338,Frequent,51-60
850,3,Tops,338,Frequent,21-30
724,4,Intimate,1,Rare,60+
833,5,Tops,157,Frequent,41-50
862,5,Tops,806,Highly Frequent,31-40
850,5,Tops,338,Frequent,51-60
1078,5,Dresses,1024,Highly Frequent,60+
850,5,Tops,338,Frequent,41-50
1104,5,Dresses,185,Frequent,21-30
1078,3,Dresses,1024,Highly Frequent,31-40
984,4,Jackets,175,Frequent,31-40
850,5,Tops,338,Frequent,60+
204,5,Intimate,1,Rare,21-30
1078,5,Dresses,1024,Highly Frequent,15-20
862,2,Tops,806,Highly Frequent,41-50
1078,5,Dresses,1024,Highly Frequent,51-60
984,5,Jackets,175,Frequent,41-50
1008,4,Bottoms,186,Frequent,21-30
841,4,Tops,25,Less Frequent,41-50
1104,3,Dresses,185,Frequent,51-60
850,5,Tops,338,Frequent,31-40
1081,5,Dresses,582,Highly Frequent,31-40
833,4,Tops,157,Frequent,31-40
850,4,Tops,338,Frequent,51-60
862,4,Tops,806,Highly Frequent,31-40
1078,5,Dresses,1024,Highly Frequent,41-50
850,5,Tops,338,Frequent,51-60
850,5,Tops,338,Frequent,31-40
831,5,Tops,164,Frequent,51-60
833,5,Tops,157,Frequent,41-50
984,4,Jackets,175,Frequent,31-40
1078,4,Dresses,1024,Highly Frequent,31-40
1104,5,Dresses,185,Frequent,31-40
1081,5,Dresses,582,Highly Frequent,51-60
833,4,Tops,157,Frequent,51-60
850,5,Tops,338,Frequent,41-50
1078,5,Dresses,1024,Highly Frequent,41-50
850,3,Tops,338,Frequent,31-40
1078,2,Dresses,1024,Highly Frequent,31-40
850,3,Tops,338,Frequent,21-30
850,4,Tops,338,Frequent,41-50
1078,5,Dresses,1024,Highly Frequent,31-40
948,2,Tops,10,Less Frequent,31-40
850,5,Tops,338,Frequent,51-60
833,4,Tops,157,Frequent,51-60
1078,3,Dresses,1024,Highly Frequent,51-60
850,5,Tops,338,Frequent,51-60
1078,4,Dresses,1024,Highly Frequent,60+
1078,5,Dresses,1024,Highly Frequent,31-40
850,5,Tops,338,Frequent,21-30
948,2,Tops,10,Less Frequent,51-60
1078,5,Dresses,1024,Highly Frequent,41-50
850,3,Tops,338,Frequent,41-50
1081,5,Dresses,582,Highly Frequent,31-40
833,5,Tops,157,Frequent,51-60
1081,5,Dresses,582,Highly Frequent,51-60
850,4,Tops,338,Frequent,31-40
850,2,Tops,338,Frequent,41-50
850,5,Tops,338,Frequent,31-40
984,5,Jackets,175,Frequent,41-50
850,4,Tops,338,Frequent,41-50
1104,5,Dresses,185,Frequent,41-50
1104,1,Dresses,185,Frequent,31-40
1104,5,Dresses,185,Frequent,21-30
1078,5,Dresses,1024,Highly Frequent,21-30
850,5,Tops,338,Frequent,31-40
850,5,Tops,338,Frequent,21-30
984,3,Jackets,175,Frequent,31-40
1078,5,Dresses,1024,Highly Frequent,41-50
984,5,Jackets,175,Frequent,60+
850,5,Tops,338,Frequent,51-60
833,3,Tops,157,Frequent,51-60
1078,3,Dresses,1024,Highly Frequent,60+
850,5,Tops,338,Frequent,31-40
1081,4,Dresses,582,Highly Frequent,31-40
984,5,Jackets,175,Frequent,51-60
850,5,Tops,338,Frequent,41-50
850,4,Tops,338,Frequent,21-30
1104,5,Dresses,185,Frequent,31-40
1078,5,Dresses,1024,Highly Frequent,60+
984,5,Jackets,175,Frequent,41-50
984,5,Jackets,175,Frequent,51-60
1078,4,Dresses,1024,Highly Frequent,31-40
1104,5,Dresses,185,Frequent,31-40
984,5,Jackets,175,Frequent,51-60
1078,5,Dresses,1024,Highly Frequent,51-60
984,5,Jackets,175,Frequent,60+
833,3,Tops,157,Frequent,41-50
850,5,Tops,338,Frequent,41-50
1078,3,Dresses,1024,Highly Frequent,51-60
1078,2,Dresses,1024,Highly Frequent,41-50
984,5,Jackets,175,Frequent,51-60
850,4,Tops,338,Frequent,51-60
1078,5,Dresses,1024,Highly Frequent,41-50
984,5,Jackets,175,Frequent,31-40
831,4,Tops,164,Frequent,31-40
1086,4,Dresses,291,Frequent,31-40
1044,5,Bottoms,42,Frequent,31-40
820,4,Tops,211,Frequent,31-40
1094,5,Dresses,756,Highly Frequent,31-40
1094,5,Dresses,756,Highly Frequent,31-40
995,5,Bottoms,36,Less Frequent,41-50
1094,4,Dresses,756,Highly Frequent,31-40
1060,5,Bottoms,103,Frequent,31-40
833,1,Tops,157,Frequent,41-50
1037,4,Bottoms,106,Frequent,41-50
875,5,Tops,115,Frequent,31-40
875,4,Tops,115,Frequent,31-40
820,5,Tops,211,Frequent,31-40
1037,4,Bottoms,106,Frequent,51-60
820,4,Tops,211,Frequent,41-50
1037,5,Bottoms,106,Frequent,31-40
820,5,Tops,211,Frequent,21-30
833,1,Tops,157,Frequent,60+
1094,5,Dresses,756,Highly Frequent,60+
833,5,Tops,157,Frequent,31-40
995,4,Bottoms,36,Less Frequent,31-40
1094,3,Dresses,756,Highly Frequent,41-50
875,2,Tops,115,Frequent,31-40
1037,3,Bottoms,106,Frequent,31-40
875,2,Tops,115,Frequent,21-30
833,3,Tops,157,Frequent,41-50
1060,3,Bottoms,103,Frequent,31-40
1094,4,Dresses,756,Highly Frequent,41-50
835,5,Tops,141,Frequent,60+
1094,4,Dresses,756,Highly Frequent,21-30
1094,4,Dresses,756,Highly Frequent,31-40
875,2,Tops,115,Frequent,41-50
823,5,Tops,105,Frequent,31-40
835,5,Tops,141,Frequent,41-50
833,4,Tops,157,Frequent,21-30
833,5,Tops,157,Frequent,31-40
820,5,Tops,211,Frequent,51-60
835,5,Tops,141,Frequent,41-50
1060,5,Bottoms,103,Frequent,21-30
1037,3,Bottoms,106,Frequent,41-50
820,4,Tops,211,Frequent,21-30
1079,3,Dresses,63,Frequent,31-40
1060,4,Bottoms,103,Frequent,41-50
875,5,Tops,115,Frequent,60+
835,5,Tops,141,Frequent,60+
1078,5,Dresses,1024,Highly Frequent,31-40
1037,1,Bottoms,106,Frequent,41-50
820,5,Tops,211,Frequent,31-40
1072,5,Dresses,197,Frequent,51-60
1094,3,Dresses,756,Highly Frequent,60+
833,4,Tops,157,Frequent,31-40
1037,4,Bottoms,106,Frequent,21-30
1094,3,Dresses,756,Highly Frequent,51-60
995,2,Bottoms,36,Less Frequent,31-40
252,4,Intimate,12,Less Frequent,31-40
634,4,Intimate,13,Less Frequent,21-30
985,5,Jackets,47,Frequent,21-30
1059,5,Bottoms,294,Frequent,31-40
985,5,Jackets,47,Frequent,60+
1059,5,Bottoms,294,Frequent,31-40
634,4,Intimate,13,Less Frequent,31-40
1059,5,Bottoms,294,Frequent,21-30
252,4,Intimate,12,Less Frequent,31-40
634,5,Intimate,13,Less Frequent,21-30
252,5,Intimate,12,Less Frequent,41-50
117,3,Intimate,4,Rare,60+
117,5,Intimate,4,Rare,51-60
634,4,Intimate,13,Less Frequent,60+
252,5,Intimate,12,Less Frequent,21-30
252,5,Intimate,12,Less Frequent,31-40
634,4,Intimate,13,Less Frequent,31-40
1059,5,Bottoms,294,Frequent,60+
838,4,Tops,37,Less Frequent,41-50
252,5,Intimate,12,Less Frequent,31-40
838,5,Tops,37,Less Frequent,41-50
838,1,Tops,37,Less Frequent,41-50
634,5,Intimate,13,Less Frequent,41-50
1059,3,Bottoms,294,Frequent,41-50
634,4,Intimate,13,Less Frequent,31-40
1008,5,Bottoms,186,Frequent,31-40
838,5,Tops,37,Less Frequent,51-60
620,4,Bottoms,2,Rare,41-50
634,5,Intimate,13,Less Frequent,31-40
1059,5,Bottoms,294,Frequent,60+
1059,4,Bottoms,294,Frequent,51-60
1059,5,Bottoms,294,Frequent,31-40
634,4,Intimate,13,Less Frequent,31-40
1059,2,Bottoms,294,Frequent,31-40
634,4,Intimate,13,Less Frequent,31-40
1059,1,Bottoms,294,Frequent,31-40
985,4,Jackets,47,Frequent,21-30
252,5,Intimate,12,Less Frequent,31-40
1059,5,Bottoms,294,Frequent,41-50
1059,5,Bottoms,294,Frequent,41-50
252,5,Intimate,12,Less Frequent,60+
1059,5,Bottoms,294,Frequent,31-40
1059,2,Bottoms,294,Frequent,31-40
252,5,Intimate,12,Less Frequent,21-30
1008,5,Bottoms,186,Frequent,41-50
943,5,Tops,12,Less Frequent,41-50
634,2,Intimate,13,Less Frequent,60+
1008,5,Bottoms,186,Frequent,21-30
252,5,Intimate,12,Less Frequent,60+
838,5,Tops,37,Less Frequent,41-50
1059,5,Bottoms,294,Frequent,60+
1059,5,Bottoms,294,Frequent,41-50
620,5,Bottoms,2,Rare,41-50
1059,5,Bottoms,294,Frequent,51-60
117,5,Intimate,4,Rare,51-60
252,5,Intimate,12,Less Frequent,21-30
252,4,Intimate,12,Less Frequent,31-40
634,4,Intimate,13,Less Frequent,31-40
838,2,Tops,37,Less Frequent,21-30
1008,3,Bottoms,186,Frequent,21-30
1059,4,Bottoms,294,Frequent,41-50
838,5,Tops,37,Less Frequent,21-30
